¶	ADJcar	¶
Du	PRE.DETdef	de.le
bouchier	VERinf	bouchier
d'	PRE	de
Abeville	NOMpro	Abeville
Seignor	NOMcom	seignor
oiez	VERcjg	öir
une	DETndf	un
merveille	NOMcom	merveille
,	PONfbl	,
onques	ADVgen	onque
n'	ADVneg	ne
oïstes	VERcjg	öir
sa	DETpos	son
pareille	NOMcom	pareille
,	PONfbl	,
que	PROrel	que
je	PROper	je
vous	PROper	vous
vueil	VERcjg	vouloir
dire	VERinf	dire
et	CONcoo	et
conter	VERinf	conter
!	PONfrt	!

Or	ADVgen	or
metez	VERcjg	metre
cuer	NOMcom	cuer
a	PRE	a
l'	DETdef	le
escouter	VERinf	escouter
.	PONfrt	.

Parole	NOMcom	parole
qui	PROrel	que
n'	ADVneg	ne
est	VERcjg	estre
entendue	VERppe	entendre
,	PONfbl	,
sachiez	VERcjg	savoir
de	PRE	de
voir	NOMcom	voir
ele	PROper	il
est	VERcjg	estre
perdue	VERppe	perdre
!	PONfrt	!

A	PRE	a
Abevile	NOMpro	Abeville
ot	VERcjg	avoir
.i	PROind	un
.	PONfrt	.

bouchier	VERinf	bouchier
que	PROrel	que
si	DETpos	son
voisin	NOMcom	voisin
orent	VERcjg	avoir
molt	ADVgen	moult
chier	ADJqua	chier
.	PONfrt	.

N'	ADVneg	ne
estoit	VERcjg	estre
pas	ADVneg	pas
fel	ADJqua	felon
ne	CONcoo	ne
mesdisanz	VERppa	mesdire
,	PONfbl	,
mes	CONcoo	mais
sages	ADJqua	sage
,	PONfbl	,
cortois	ADJqua	cortois
et	CONcoo	et
vaillanz	ADJqua	valoir
et	CONcoo	et
loiaus	ADJqua	loyal
hom	NOMcom	homme
de	PRE	de
son	DETpos	son
mestier	NOMcom	mestier
,	PONfbl	,
et	CONcoo	et
s'	ADVgen	si
avoit	VERcjg	avoir
sovent	ADVgen	souvent
grant	ADJqua	grant
mestier	NOMcom	mestier
ses	DETpos	son
povres	ADJqua	pauvre
voisins	NOMcom	voisin
soufraitex	ADJqua	souffriteux
.	PONfrt	.

N'	ADVneg	ne
estoit	VERcjg	estre
avers	ADJqua	avers
ne	CONcoo	ne
covoitex	ADJqua	covoitel
.	PONfrt	.

Entor	PRE	entor
feste	NOMcom	fête
toz	ADVgen	tot
sains	ADJqua	saint
avint	VERcjg	advenir
qu'	CONsub	que
a	PRE	a
Oisemont	NOMpro	Oisemont
au	PRE.DETdef	a
marchié	NOMcom	marché
vint	VERcjg	venir
le	DETdef	le
bouchier	VERinf	bouchier
bestes	NOMcom	beste
achater	VERinf	acheter
,	PONfbl	,
mes	CONcoo	mais
ne	ADVneg	ne
fist	VERcjg	faire
fors	PRE	fors
voie	NOMcom	voie
gaster	VERinf	gaster
.	PONfrt	.

Trop	ADVgen	trop
i	PROadv	i
trova	VERcjg	trover
chieres	ADJqua	chier
les	DETdef	le
bestes	NOMcom	beste
,	PONfbl	,
les	DETdef	le
cochons	NOMcom	cochom
felons	ADJqua	felon
et	CONcoo	et
rubestes	ADJqua	rubest
,	PONfbl	,
vilains	ADJqua	vilain
et	CONcoo	et
de	PRE	de
mauvés	ADJqua	mauvais
afere	NOMcom	afaire
.	PONfrt	.

Ne	ADVneg	ne
pot	VERcjg	pöoir
a	PRE	a
els	PROper	eux
nul	DETind	nul
marchié	NOMcom	marché
fere	VERinf	faire
.	PONfrt	.

Povrement	ADVgen	pouvrement
sa	DETpos	son
voie	NOMcom	voie
emploia	VERcjg	employer
.	PONfrt	.

Onques	ADVgen	onque
denier	NOMcom	denier
n'	ADVneg	ne
i	PROadv	i
emploia	VERcjg	employer
.	PONfrt	.

Aprés	PRE	après
espars	ADJqua	espart
marchié	NOMcom	marché
s'	PROper	soi
en	PROadv	en
torne	VERcjg	torner
.	PONfrt	.

De	PRE	de
tost	ADVgen	tost
aler	VERinf	aler
molt	ADVgen	moult
bien	ADVgen	bien
s'	PROper	soi
atorne	VERcjg	atorner
.	PONfrt	.

Son	DETpos	son
sorcot	NOMcom	sorcot
porte	VERcjg	porter
sor	PRE	sor
s'	DETpos	son
