¶	ADJcar	¶
Des	PRE.DETdef	de
.iii	PROcar	trois
.	PONfrt	.

avugles	NOMcom	avugle
de	PRE	de
Compingne	NOMpro	Compigne
Une	DETndf	un
matere	NOMcom	matiere
ci	ADVgen	ci
dirai	VERcjg	dire
d'	PRE	de
un	DETndf	un
fablel	NOMcom	fablel
que	PROrel	que
vous	PROper	vous
conterai	VERcjg	conter
.	PONfrt	.

On	PROind	on
tient	VERcjg	tenir
le	DETdef	le
menestrel	NOMcom	menestrel
a	PRE	a
sage	ADJqua	sage
qui	PROrel	que
met	VERcjg	metre
en	PRE	en
trover	VERinf	trover
son	DETpos	son
usage	NOMcom	usage
de	PRE	de
fere	VERinf	faire
biaus	ADJqua	bel
dis	NOMcom	di
et	CONcoo	et
biaus	ADJqua	bel
contes	NOMcom	conte
c'	PROrel	que
on	PROind	on
dit	VERcjg	dire
devant	PRE	devant
dus	NOMcom	duc
,	PONfbl	,
devant	PRE	devant
contes	NOMcom	conte
.	PONfrt	.

Fablel	NOMcom	fablel
sont	VERcjg	estre
bon	ADJqua	bon
a	PRE	a
escouter	VERinf	escouter
:	PONfbl	:
maint	DETind	maint
duel	NOMcom	duel
,	PONfbl	,
maint	DETind	maint
mal	NOMcom	mal
font	VERcjg	faire
mesconter	VERinf	mesconter
et	CONcoo	et
maint	DETind	maint
anui	NOMcom	ennui
et	CONcoo	et
maint	DETind	maint
mesfet	NOMcom	mesfait
.	PONfrt	.

Cortebarbe	NOMpro	Cortebarbe
a	VERcjg	avoir
cest	DETdem	cest
fablel	NOMcom	fablel
fet	VERppe	faire
,	PONfbl	,
si	ADVgen	si
croi	VERcjg	croire
bien	ADVgen	bien
qu'	CONsub	que
encor	ADVgen	encore
l'	PROper	il
en	PROadv	en
soviegne	VERcjg	souvenir
.	PONfrt	.

Il	PROimp	il
avint	VERcjg	advenir
ja	ADVgen	ja
defors	ADVgen	defors
Compiegne	NOMpro	Compiègne
troi	DETcar	trois
avugle	NOMcom	avugle
.i	PROcar	un
.	PONfrt	.

chemin	NOMcom	chemin
aloient	VERcjg	aler
.	PONfrt	.

Entr'	PRE	entre
eus	PROper	eux
nis	ADVgen	neïs
.i	PROcar	un
.	PONfrt	.

garçon	NOMcom	garçon
n'	ADVneg	ne
avoient	VERcjg	avoir
qui	PROrel	que
les	PROper	il
menast	VERcjg	mener
ne	CONcoo	ne
conduisist	VERcjg	conduire
ne	CONcoo	ne
le	DETdef	le
chemin	NOMcom	chemin
lor	PROper	il
apresist	VERcjg	apprendre
.	PONfrt	.

Chascuns	PROind	chascun
avoit	VERcjg	avoir
son	DETpos	son
hanepel	NOMcom	hanepel
.	PONfrt	.

Molt	ADVgen	moult
povre	ADJqua	povre
estoient	VERcjg	être
lor	DETpos	lor
drapel	NOMcom	drapeau
quar	CONcoo	car
vestu	VERppe	vestir
furent	VERcjg	estre
povrement	ADVgen	pouvrement
.	PONfrt	.

Tout	DETind	tout
le	DETdef	le
chemin	NOMcom	chemin
si	ADVgen	si
fetement	ADVgen	faitement
s'	PROper	soi
en	PROadv	en
aloient	VERcjg	aler
devers	PRE	devers
Senlis	NOMpro	Senlis
.	PONfrt	.

Uns	DETndf	un
clers	NOMcom	clerc
qui	PROrel	que
venoit	VERcjg	venir
de	PRE	de
Paris	NOMpro	Paris
,	PONfbl	,
qui	PROrel	que
bien	ADVgen	bien
et	CONcoo	et
mal	NOMcom	mal
assez	ADVgen	assez
savoit	VERcjg	savoir
,	PONfbl	,
escuier	NOMcom	escuier
et	CONcoo	et
sommier	NOMcom	sommier
avoit	VERcjg	avoir
et	CONcoo	et
bel	ADJqua	bel
palefroi	NOMcom	palefroi
chevauchant	VERppa	chevauchier
,	PONfbl	,
les	DETdef	le
avugles	NOMcom	avugle
vint	VERcjg	venir
aprochant	VERppa	approcher
quar	CONcoo	car
grant	ADJqua	grant
ambleüre	NOMcom	amblëure
venoit	VERcjg	venir
,	PONfbl	,
si	ADVgen	si
vit	VERcjg	vëoir
que	CONsub	que
nus	PROind	nul
ne	ADVneg	ne
les	PROper	il
menoit	VERcjg	mener
.	PONfrt	.

Si	ADVgen	si
pensse	VERcjg	penser
que	CONsub	que
aucuns	PROind	aucun
n'	ADVneg	ne
en	PROadv	en
voie	VERcjg	vëoir
.	PONfrt	.

Comment	ADVint	comment
alaissent	VERcjg	aller
il	PROper	il
la	DETdef	le
voie	NOMcom	voie
?	PONfrt	?

Puis	ADVgen	puis
dist	VERcjg	dire
:	PONfbl	:
“	PONpga	“
El	PRE.DETdef	en
cors	NOMcom	corps
me	PROper	je
fiere	VERcjg	ferir
goute	NOMcom	goutte
se	CONsub	se
je	PROper	je
ne	ADVneg	ne
sai	VERcjg	savoir
s'	CONsub	se
il	PROper	il
voient	VERcjg	vëoir
goute	NOMcom	goutte
!	PONfrt	!

”	PONpdr	”
Li	DETdef	le
avugle	NOMcom	avugle
venir	VERinf	venir
l'	PROper	il
oïrent	VERcjg	ouïr
.	PONfrt	.

Erraument	ADVgen	erramment
d'	PRE	de
une	DETndf	un
part	NOMcom	part
se	PROper	soi
tindrent	VERcjg	tenir
si	ADVgen	si
s'	PROper	soi
escrient	VERcjg	écrier
:	PONfbl	:
“	PONpga	“
Fetes	VERcjg	faire
nous	PROper	nous
bien	ADVgen	bien
!	PONfrt	!

Povre	ADJqua	povre
sommes	VERcjg	être
sor	PRE	sor
toute	DETind	tout
rien	NOMcom	rien
.	PONfrt	.

Cil	PROdem	cel
est	VERcjg	estre
molt	ADVgen	moult
povres	ADJqua	pauvre
qui	PROrel	que
ne	ADVneg	ne
voit	VERcjg	vëoir
!	PONfrt	!

”	PONpdr	”
Li	DETdef	le
clers	NOMcom	clerc
esraument	ADVgen	esramment
se	PROper	soi
porvoit	VERcjg	porvëoir
,	PONfbl	,
qui	PROrel	que
les	PROper	il
veut	VERcjg	vouloir
aler	VERinf	aler
falordant	VERppa	falord
:	PONfbl	:
“	PONpga	“
Vez	VERcjg	vëoir
ici	ADVgen	ici
,	PONfbl	,
fet	VERcjg	faire
il	PROper	il
,	PONfbl	,
.i	PROcar	un
.	PONfrt	.

besant	VERppa	baisier
que	CONsub	que
je	PROper	je
vous	PROper	vous
done	VERcjg	doner
entre	PRE	entre
vous	PROper	vous
.iii	PROcar	trois
.	PONfrt	.

“	PONpga	“
Diex	NOMpro	Dieu
le	PROper	il
vous	PROper	vous
mire	VERcjg	merir
et	CONcoo	et
sainte	ADJqua	saint
Croiz	NOMpro	Croiz
!	PONfrt	!

fet	VERcjg	faire
chascuns	PROind	chascun
.	PONfrt	.

Ci	ADVgen	ci
n'	ADVneg	ne
a	VERcjg	avoir
pas	ADVneg	pas
don	PROrel	dont
lait	ADJqua	lait
!	PONfrt	!

”	PONpdr	”
Chascuns	PROind	chascun
cuide	VERcjg	cuidier
ses	DETpos	son
compains	NOMcom	compagnon
l'	PROper	il
ait	VERcjg	avoir
.	PONfrt	.

Li	DETdef	le
clers	NOMcom	clerc
maintenant	ADVgen	maintenant
s'	PROper	soi
en	PROadv	en
depart	VERcjg	departir
,	PONfbl	,
puis	ADVgen	puis
dist	VERcjg	dire
qu'	CONsub	que
il	PROper	il
veut	VERcjg	vouloir
vir	ADJqua	vir
lor	PROper	il
depart	VERcjg	departir
.	PONfrt	.

Esraument	ADVgen	esrament
a	PRE	a
pié	NOMcom	pié
descendi	VERcjg	descendre
,	PONfbl	,
si	ADVgen	si
escouta	VERcjg	escouter
et	CONcoo	et
entendi	VERcjg	entendre
comment	ADVsub	comment
li	DETdef	le
