Beneurez	VERcjg	benorer
li	DETdef	le
huem	NOMcom	homme
chi	PROrel	qui
ne	ADVneg	ne
alat	VERcjg	aller
el	PRE.DETdef	en
conseil	NOMcom	conseil
des	PRE.DETdef	de.le
feluns	NOMcom	félon
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	DETdef	le
veie	NOMcom	voie
des	PRE.DETdef	de.le
peccheurs	NOMcom	pécheur
ne	ADVneg	ne
stout	VERcjg	stolir
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	DETdef	le
chaere	NOMcom	chaire
de	PRE	de
pestilence	NOMcom	pestilence
ne	ADVneg	ne
sist	VERcjg	sëoir
.	PONfrt	.

Mais	CONcoo	mais
en	PRE	en
la	DETdef	le
lei	NOMcom	loi
de	PRE	de
nostre	DETpos	notre
Seignur	NOMcom	seigneur
la	DETdef	le
voluntet	NOMcom	volonté
de	PRE	de
lui	PROper	il
,	PONfbl	,
et	CONcoo	et
en	PRE	en
la	DETdef	le
sue	ADJpos	sien
lei	NOMcom	loi
purpenserat	VERcjg	pourpenser
par	PRE	par
jurn	NOMcom	jour
e	CONcoo	et
par	PRE	par
nuit	NOMcom	nuit
.	PONfrt	.

Et	CONcoo	et
iert	VERcjg	estre
ensement	ADVgen	ensement
cume	CONsub	comme
le	DETdef	le
fust	NOMcom	fust
qued	PROrel	que
est	VERcjg	estre
plantet	VERppe	planter
dejuste	PRE	dejoste
les	DETdef	le
decurs	NOMcom	decours
des	PRE.DETdef	de.le
ewes	NOMcom	eau
,	PONfbl	,
chi	PROrel	qui
dunrat	VERcjg	donner
sun	DETpos	son
frut	NOMcom	frut
en	PRE	en
sun	DETpos	son
tens	NOMcom	temps
.	PONfrt	.

Et	CONcoo	et
sa	DETpos	son
faille	NOMcom	faille
ne	ADVneg	ne
decurrat	VERcjg	decorir
,	PONfbl	,
et	CONcoo	et
tutes	DETind	tous
les	DETdef	le
coses	NOMcom	chose
que	PROrel	que
il	PROper	il
unques	ADVgen	onques
ferat	VERcjg	faire
serunt	VERcjg	être
fait	VERppe	faire
prospres	ADJqua	prospre
.	PONfrt	.

Nient	ADVgen	néant
eissi	VERcjg	issir
li	DETdef	le
felun	NOMcom	félon
,	PONfbl	,
nient	ADVgen	néant
eissi	ADVgen	ainsi
;	PONfbl	;
mais	CONcoo	mais
ensement	ADVgen	ensement
cume	CONsub	comme
la	DETdef	le
puldre	NOMcom	poudre
que	PROrel	que
li	DETdef	le
venz	NOMcom	vent
getet	VERcjg	jeter
de	PRE	de
la	DETdef	le
face	NOMcom	face
de	PRE	de
terre	NOMcom	terre
