Artus	NOMpro	Artu
,	PONfbl	,
li	DETdef	le
boens	ADJqua	bon
rois	NOMcom	roi
de	PRE	de
Bretaingne	NOMpro	Bretaingne
,	PONfbl	,
La	DETdef	le
cui	PROrel	que
proesce	NOMcom	pröece
nos	PROper	nos
enseigne	VERcjg	enseignier
Que	CONsub	que
nos	PROper	nos
soiens	VERcjg	estre
preu	ADJqua	pro
et	CONcoo	et
cortois	ADJqua	cortois
,	PONfbl	,
Tint	VERcjg	tenir
cort	NOMcom	cort
si	ADVgen	si
riche	ADJqua	riche
come	CONsub	come
rois	NOMcom	roi
A	PRE	a
cele	DETdem	cil
feste	NOMcom	fête
qui	PROrel	que
tant	ADVgen	tant
coste	VERcjg	coster
,	PONfbl	,
Qu'	CONsub	que
an	PROind	on
doit	VERcjg	devoir
clamer	VERinf	clamer
la	DETdef	le
Pantecoste	NOMpro	pentecoste
.	PONfrt	.

Li	DETdef	le
rois	NOMcom	roi
fu	VERcjg	estre
a	PRE	a
Carduel	NOMpro	Carduel
en	PRE	en
Gales	NOMpro	Gale
;	PONfbl	;
Aprés	PRE	après
mangier	VERinf	mangier
,	PONfbl	,
parmi	PRE	parmi
ces	DETdem	ce
sales	NOMcom	sale
,	PONfbl	,
Cil	DETdem	cel
chevalier	NOMcom	chevalier
s'	PROper	soi
atropelerent	VERcjg	atropeler
La	ADVgen	là
ou	PROrel	où
dames	NOMcom	dame
les	PROper	il
apelerent	VERcjg	apeler
Ou	CONcoo	o
dameiseles	NOMcom	damoisele
ou	CONcoo	o
puceles	NOMcom	pucele
.	PONfrt	.

Li	DETdef	le
un	PROind	un
recontoient	VERcjg	reconter
noveles	NOMcom	novele
,	PONfbl	,
Li	DETdef	le
autre	PROind	autre
parloient	VERcjg	parler
d'	PRE	de
Amors	NOMcom	amor
,	PONfbl	,
Des	PRE.DETdef	de
angoisses	NOMcom	angoisse
et	CONcoo	et
des	PRE.DETdef	de.le
dolors	NOMcom	dolor
Et	CONcoo	et
des	PRE.DETdef	de.le
granz	ADJqua	grant
biens	NOMcom	bien
qu'	PROrel	que
orent	VERcjg	avoir
sovant	ADVgen	sovent
Li	DETdef	le
deciple	NOMcom	desciple
de	PRE	de
son	DETpos	son
covant	NOMcom	covent
,	PONfbl	,
Qui	PROrel	que
lors	ADVgen	lors
estoit	VERcjg	estre
mout	ADVgen	mout
dolz	ADJqua	douz
et	CONcoo	et
buens	ADJqua	bon
;	PONfbl	;
